PKey,company_name,state,zip_code,full_time_employees,company_category,business_model,agency_name,agency_abbrev,agency_type,used_by
0,"3 Round Stones, Inc.",DC,20004,10,Data&Technology,Business to Consumer,U.S. Environmental Protection Agency,EPA,Federal,"3 Round Stones, Inc."
1,"3 Round Stones, Inc.",DC,20004,10,Data&Technology,Business to Consumer,U.S. Environmental Protection Agency,EPA,Federal,"3 Round Stones, Inc."
2,"3 Round Stones, Inc.",DC,20004,10,Data&Technology,Business to Consumer,Multiple federal data sources,,Federal,"3 Round Stones, Inc."
3,48 Factoring Inc.,PA,19087,200,Finance&Investment,Business to Business,New York City,NYC,City/County,48 Factoring Inc.
4,5PSolutions,VA,22003,10,Data&Technology,Business to Government,U.S. Environmental Protection Agency,EPA,Federal,5PSolutions
5,Abt Associates,MA,2138,5000,Research&Consulting,Business to Business,Department of Labor,DOL,Federal,Abt Associates
6,Abt Associates,MA,2138,5000,Research&Consulting,Business to Business,Department of Commerce,USDC,Federal,Abt Associates
7,Abt Associates,MA,2138,5000,Research&Consulting,Business to Business,Department of Health and Human Services,HHS,Federal,Abt Associates
8,Abt Associates,MA,2138,5000,Research&Consulting,Business to Business,Department of Transportation,DOT,Federal,Abt Associates
9,Abt Associates,MA,2138,5000,Research&Consulting,Business to Business,U.S. Environmental Protection Agency,EPA,Federal,Abt Associates
10,Abt Associates,MA,2138,5000,Research&Consulting,Business to Business,U.S. Environmental Protection Agency,EPA,Federal,Abt Associates
11,Accela,CA,94583,1000,Governance,Business to Consumer,Multiple city and local data sources,,City/County,Accela
12,Accenture,IL,60601,10001,Data&Technology,Business to Business,Department of Health and Human Services,HHS,Federal,Accenture
13,AccuWeather,PA,16803,500,Environment&Weather,Business to Government,Department of Commerce,USDC,Federal,AccuWeather
14,Acxiom,AR,72201,10000,Data&Technology,Business to Business,Multiple government open data sources,,Other,Acxiom
15,Adaptive,CA,92618,50,Business&LegalServices,Business to Business,Multiple federal data sources,,Federal,Adaptive
16,Adobe Digital Government,CA,95510,10001,Data&Technology,Business to Government,Multiple government open data sources,,Other,Adobe Digital Government
17,Aidin,NY,10013,10,Healthcare,Business to Consumer,Department of Health and Human Services,HHS,Federal,Aidin
18,Aidin,NY,10013,10,Healthcare,Business to Consumer,Department of Health and Human Services,HHS,Federal,Aidin
19,Alarm.com,VA,22182,500,Lifestyle&Consumer,Business to Consumer,Department of Commerce,USDC,Federal,Alarm.com
20,Allianz,NY,10019,10001,Finance&Investment,Business to Consumer,Multiple government open data sources,,Other,Allianz
21,Allied Van Lines,IL,60181,10000,Transportation,Business to Government,Department of Commerce,USDC,Federal,Allied Van Lines
22,AllState Insurance Group,IL,60062,10001,Insurance,Business to Consumer,Multiple government open data sources,,Other,AllState Insurance Group
23,Alltuition,IL,60611,10,Education,Business to Consumer,Department of Education,ED / DOED,Federal,Alltuition
