TRUE,company_name,state,zip_code,full_time_employees,company_category,business_model,agency_name,agency_abbrev,agency_type,used_by,dataset_name
0,"3 Round Stones, Inc.",DC,20004,10,Data&Technology,Business to Consumer,U.S. Environmental Protection Agency,EPA,Federal,"3 Round Stones, Inc.",Toxics Release Inventory  Programs
1,"3 Round Stones, Inc.",DC,20004,10,Data&Technology, Business to Consumer,U.S. Environmental Protection Agency,EPA,Federal,"3 Round Stones, Inc.",Facilities Registry Service (FRS)
2,"3 Round Stones, Inc.",DC,20004,10,Data&Technology, Business to Consumer,Multiple federal data sources,,Federal,"3 Round Stones, Inc.",
3,48 Factoring Inc.,PA,19087,200,Finance&Investment,Business to Business,New York City,NYC,City/County,48 Factoring Inc.,
4,5PSolutions,VA,22003,10,Data&Technology, Business to Government,U.S. Environmental Protection Agency,EPA,Federal,5PSolutions,epa
5,Abt Associates,MA,2138,5000,Research&Consulting,Business to Consumer,Department of Labor,DOL,Federal,Abt Associates,EBSA Enforcement Data
6,Abt Associates,MA,2138,5000,Research&Consulting,Business to Consumer,Department of Commerce,USDC,Federal,Abt Associates,US Census Bureau
7,Abt Associates,MA,2138,5000,Research&Consulting,Business to Consumer,Department of Health and Human Services,HHS,Federal,Abt Associates,Medicare Nursing Home Compare
8,Abt Associates,MA,2138,5000,Research&Consulting,Business to Consumer,Department of Transportation,DOT,Federal,Abt Associates,US Department of Transportation Pipeline and Hazardous Materials Safety Administration (PHMSA) Office of Hazardous Materials Dietary Supplement Labeling Database
9,Abt Associates,MA,2138,5000,Research&Consulting,Business to Consumer,U.S. Environmental Protection Agency,EPA,Federal,Abt Associates,US Environmental Protection Agency (EPA) Integrated Risk Information System (IRIS)
10,Abt Associates,MA,2138,5000,Research&Consulting,Business to Consumer,U.S. Environmental Protection Agency,EPA,Federal,Abt Associates,US Environmental Protection Agency (EPA) Enforcement and Compliance History Online (ECHO)
11,Accela,CA,94583,1000,Governance,Business to Consumer,Multiple city and local data sources,,City/County,Accela,
12,Accenture,IL,60601,10001,Research&Consulting,Business to Business,Department of Health and Human Services,HHS,Federal,Accenture,"Accenture consults to national governments re: public data (e.g. EU, Canada)"
13,AccuWeather,PA,16803,500,Environment&Weather, Business to Government,Department of Commerce,USDC,Federal,AccuWeather,
14,Acxiom,AR,72201,10000,Data&Technology,Business to Business,Multiple government open data sources,,Other,Acxiom,
15,Adaptive,CA,92618,50,Business&LegalServices,Business to Business,Multiple federal data sources,,Federal,Adaptive,
16,Adobe Digital Government,CA,95510,10001,Data&Technology,Business to Government,Multiple government open data sources,,Other,Adobe Digital Government,
17,Aidin,NY,10013,10,Healthcare, Business to Consumer,Department of Health and Human Services,HHS,Federal,Aidin,Home Health Compare
18,Aidin,NY,10013,10,Healthcare, Business to Consumer,Department of Health and Human Services,HHS,Federal,Aidin,Nursing Home Compare
19,Alarm.com,VA,22182,500,Lifestyle&Consumer,Business to Consumer,Department of Commerce,USDC,Federal,Alarm.com,
20,Allianz,NY,10019,10001,Finance&Investment,Business to Consumer,Multiple government open data sources,,Other,Allianz,
21,Allied Van Lines,IL,60181,10000,Transportation, Business to Government,Department of Commerce,USDC,Federal,Allied Van Lines,zipcode data
22,AllState Insurance Group,IL,60062,10001,Insurance,Business to Consumer,Multiple government open data sources,,Other,AllState Insurance Group,
23,Alltuition,IL,60611,10,Education,Business to Consumer,Department of Education,ED / DOED,Federal,Alltuition,
24,Altova,MA,1915,200,Data&Technology,Business to Business,Securities and Exchange Commission,SEC,Federal,Altova,
25,Amazon Web Services,WA,98109,200,Data&Technology,Business to Consumer,Multiple government open data sources,,Other,Amazon Web Services,
26,American Red Ball Movers,IN,46239,50,Transportation, Business to Consumer,Department of Commerce,USDC,Federal,American Red Ball Movers,zipcode data
27,Amida Technology Solutions,DC,20036,10,Healthcare, Business to Consumer,Department of Health and Human Services,HHS,Federal,Amida Technology Solutions,Blue Button
28,Analytica,DC,20005,50,Data&Technology, Business to Government,District of Columbia,DC,State,Analytica,Crime Data
29,Analytica,DC,20005,50,Data&Technology, Business to Government,District of Columbia,DC,State,Analytica,Crime Data
30,Apextech LLC,VA,22201,50,Data&Technology,Business to Government,US Agency for International Development,USAID,Federal,Apextech LLC,Grants Financial Data Maintained by NGOs
31,Apextech LLC,VA,22201,50,Data&Technology,Business to Government,US Agency for International Development,USAID,Federal,Apextech LLC,US Agency for International Development (USAID) Grants Financial Data Maintained by NGOs
32,Apextech LLC,VA,22201,50,Data&Technology,Business to Government,Department of Defense,DOD,Federal,Apextech LLC,Accounting and Budgeting Data
33,Apextech LLC,VA,22201,50,Data&Technology,Business to Government,Department of Defense,DOD,Federal,Apextech LLC,US Department of Defense Accounting and Budgeting Data
34,Appallicious,CA,94104,50,Data&Technology,Business to Government,Department of Commerce,USDC,Federal,Appallicious,US Census Bureau
35,Appallicious,CA,94104,50,Data&Technology,Business to Government,San Francisco,SF,City/County,Appallicious,San Francisco Department of Public Health
36,Appallicious,CA,94104,50,Data&Technology,Business to Government,San Francisco,SF,City/County,Appallicious,San Francisco Parks & Recreation Info Department Dataset
37,Aquicore,DC,0,10,Energy,Business to Business,Department of Energy,DOE,Federal,Aquicore,
38,Archimedes Inc.,CA,94105,50,Healthcare, academia,Department of Health and Human Services,HHS,Federal,Archimedes Inc.,National Health and Nutrition Examination Survey (NHANES)
39,Archimedes Inc.,CA,94105,50,Healthcare, academia,Department of Health and Human Services,HHS,Federal,Archimedes Inc.,National Ambulatory Medical Care Survey (NAMCS)
40,Archimedes Inc.,CA,94105,50,Healthcare, academia,Department of Health and Human Services,HHS,Federal,Archimedes Inc.,National Hospital Discharge Survey (NHDS)
41,Archimedes Inc.,CA,94105,50,Healthcare, academia,Department of Health and Human Services,HHS,Federal,Archimedes Inc.,Compressed Mortality File (CMF)
42,AreaVibes Inc.,NY,0,10,Data&Technology,Business to Consumer,Department of Commerce,USDC,Federal,AreaVibes Inc.,
43,AreaVibes Inc.,NY,0,10,Data&Technology,Business to Consumer,Department of Commerce,USDC,Federal,AreaVibes Inc.,
44,AreaVibes Inc.,NY,0,10,Data&Technology,Business to Consumer,Department of Justice,DOJ,Federal,AreaVibes Inc.,Uniform Crime Reporting
45,AreaVibes Inc.,NY,0,10,Data&Technology,Business to Consumer,U.S. Environmental Protection Agency,EPA,Federal,AreaVibes Inc.,
46,Arpin Van Lines,RI,2893,500,Transportation, Business to Government,Department of Commerce,USDC,Federal,Arpin Van Lines,zipcode data
47,Arrive Labs,CA,94110,10,Transportation,Business to Consumer,Multiple city and local data sources,,City/County,Arrive Labs,
48,ASC Partners,MA,0,10,Business&LegalServices,Business to Business,Multiple federal data sources,,Federal,ASC Partners,ASC works with Congressional Quarterly to bring the text of government efforts to address the financial crisis.
49,Asset4,NY,10036,200,Finance&Investment,Business to Business,Multiple government open data sources,,Other,Asset4,
50,Atlas Van Lines,IN,47712,500,Transportation, Business to Consumer,Department of Commerce,USDC,Federal,Atlas Van Lines,
51,Atlas Van Lines,IN,47712,500,Transportation, Business to Consumer,Multiple government open data sources,,Other,Atlas Van Lines,
52,AtSite,DC,20036,200,Research&Consulting,Business to Business,Department of Energy,DOE,Federal,AtSite,
53,"Aunt Bertha, Inc.",TX,78731,50,Governance,Business to Consumer,Department of the Treasury,,Federal,"Aunt Bertha, Inc.",Internal Revenue Service (IRS) SOI Tax Stats - Exempt Organizations Business Master File Extract (EO BMF)
54,"Aunt Bertha, Inc.",TX,78731,50,Governance,Business to Consumer,Social Security Administration,SSA,Federal,"Aunt Bertha, Inc.",Benefits.gov
